index,review_title,rating
534,Facilities,
535,Fabulous,8.8
536,Superb,9
537,Exceptional,10
538,Convenient airport hotel,7.5
539,Marivaux provides solid value in Brussels,7.5
540,Not as nice as in the pictures,3
541,"Far from City Center, but a comfy stay.",9.2
542,I'll stay there every time I go to Brugge.,10
543,Exceptional,10
544,Superb,9
545,Perfect,9.6
546,Hotel is ok - small minibar or fridge would be nice,8.3
547,Brussels stay,7.1
548,"Great room, location and service!",10
549,Good,7.5
550,Amazing visit to Brugge with nice personal touches to a lovely bnb. Would recommend to everyone.,10
551,Friendly place in the city centre and near the beach,8
552,Can only recommend!!!,9.6
553,The strength in this hotel are the people. The breakfast is complete. The restaurant could be better,7
554,Amazing,10
555,Interesting trips till date,10
556,Good,7.9
557,"I recommend this property for everyone, especially if you have a car. It comes with parking lot",10
558,"Good choice to spend some days in Knokke, good state and good location.",9
559,Helpful staff helped me get the most out of my stay.,9.2
560,Just perfect,10
561,Very good,8
562,Excellent.,10
563,The quality of the room dropped from two years ago when I first used this hotel,5.8
564,Great value for money in the heart of Brussels,9
565,Exceptional,10
566,Exceptional,10
567,Exceptional,9.6
568,Cosy close to the centre,9
569,The hotel is very good value for the money and the location fine for the area I needed to be in.,9.2
570,Exceptional,10
571,Excellent,9
572,Fabulous,8.8
573,Good cost effective ratio.,7.9
574,Just what we needed,9
575,Superb,9
576,Nice break with nature,8.8
577,Tres,10
578,Superb,9.2
579,Highly recommended to anyone visiting Bruges.,10
580,Exceptional,10
581,Fabulous,8.8
582,Good,7.5
583,Safe town to visit.,7
584,A quiet comfortable BnB with friendly welcoming owners.,8
585,"Terrible disappointment, not like the pictures",5
586,The appartment is perfecy but it said its good for 4 people its maybe good for 2,7
587,Very poor,2.9
588,Highly recommended,10
589,Exceptional,9.6
590,Very good,8.3
591,Pleasant,6
592,Very nice!!,8
593,"Great, great, great….",9
594,"Great location, friendly staff, good prise",9.6
595,Very good,9.6
596,Exceptional,10
597,Exceptional,10
598,Exceptional,10
599,Exceptional,10
600,Exceptional,9.6
601,Exceptional,10
602,Pleasant stay,8
603,"I had the most relaxed and comfortable weekend in a longtime! Lovely hotel, friendly staff and great restaurant",10
604,Exceptional,10
605,Exceptional,9.6
606,Exceptional,10
607,Exceptional,10
608,Superb,9.2
609,Amazing.,10
610,Superb,9.2
611,Nice apartment in Minsk,9.2
612,Superb,9
613,Superb,9
614,Good,7
615,Exceptional,10
616,A very pleasant stay in the nature,7
617,"Enjoyable site, nice base for trecking around, Orval was also so close.",9
618,Long Weekend With Friends,10
619,Very nice B&B out in the wild,9
620,Good very clean hotel,9.6
621,Central Brugges B&B aka Briljant & Best!,10
622,Excellent stay,10
623,Exceptional,9.6
624,Very friendly staff,
625,Exceptional,10
626,Superb,9
627,homy stay in the heart of Bruges,9
628,Nice clean hotel in Ardennes with great breakfast and helpful staff.,9
629,Superb,9.2
630,Exceptional,9.6
631,Highly  recommended!,7.9
632,Superb,9.2
633,Exceptional,10
634,Excellent wish stayed longer,10
635,Superb,9.2
636,Very impressed,10
637,Good,7.5
638,Great stay,8
639,It was marvelous to wake up with the chant of birds!,8
640,Great stop on our bicycle trip in Belgium!,10
641,Okay,5.8
642,Comfortable stay,8.3
643,Very poor,2.9
644,Exceptional,10
645,wonderful stay and comfortable. The staff were amazing,9.6
646,Amazing Ghent,9.2
647,Superb,9
648,Exceptional,10
649,"Lovely, cosy and clean b&b",10
650,Good,7
